community,total,ha,cost_mxp_ha,cost_usd_ha
El Rosario,458474,1349,339.8621201,17.88748
Isla Natividad,305894,200,1529.47,80.49842105
La Bocana,212854,59.76,3561.813922,187.4638907
Puerto Libertad,105722.2,74.76,1414.154628,74.42919095
Isla San Pedro Nolasco,155952,138,1130.086957,59.47826087
Punta Allen,361818,3211.27,112.6713107,5.930068986
Maria Elena,145820,1190,122.5378151,6.449358691
Punta Herrero,230766,163.34,1412.795396,74.35765243
Banco Chinchorro,283360,12257.45,23.11736944,1.216703655
