year,family,group,value,landed_weight,price,cpi,fact,def_price
2000,Carangidae,Escama,39835827,7066684,5.63713150326235,5.417217,1.2344910315551707,6.958988284474489
2000,Centropomidae,Escama,79999853,2754795,29.040220052671796,5.417217,1.2344910315551707,35.84989120941196
2000,Haemulidae,Escama,267058109,36134523,7.390663742814593,5.417217,1.2344910315551707,9.123708107744585
2000,Haliotidae,Invertebrado,23328483,231221,100.89257896125352,5.417217,1.2344910315551707,124.55098387813938
2000,Holothuroidea,Invertebrado,8823617,425548,20.734716177728483,5.417217,1.2344910315551707,25.59682116324772
2000,Lutjanidae,Escama,59481767,3587369,16.58088894674621,5.417217,1.2344910315551707,20.468958699970457
2000,Malacanthidae,Escama,5863721,984907,5.953578358159705,5.417217,1.2344910315551707,7.349639088809114
2000,Mugilidae,Escama,67463988,14278420,4.724891689696759,5.417217,1.2344910315551707,5.832836416000205
2000,Palinuridae,Invertebrado,147837449,2169932,68.12999163107415,5.417217,1.2344910315551707,84.10586364848987
2000,Rachycentridae,Escama,20953000,1521939,13.767306048402729,5.417217,1.2344910315551707,16.995615845428425
2000,Scianidae,Escama,53686382,6729119,7.978218545399479,5.417217,1.2344910315551707,9.849039242082798
2000,Scombridae,Escama,426813659,84591213,5.045602774368539,5.417217,1.2344910315551707,6.228751373747849
2000,Serranidae,Escama,201214285,13825332,14.55402915459824,5.417217,1.2344910315551707,17.96681846434401
2000,Sparidae,Escama,18425654,1287006,14.316680730315166,5.417217,1.2344910315551707,17.673813963212805
2000,Strongylocentrotidae,Invertebrado,60348796,2377707,25.38109026890193,5.417217,1.2344910315551707,31.332728308051646
2001,Carangidae,Escama,42812120,7687893,5.5687715736938586,5.063315,1.1538428232501614,6.425487114626166
2001,Centropomidae,Escama,118322997,3517793,33.63557690859013,5.063315,1.1538428232501614,38.81016902185557
2001,Haemulidae,Escama,270930849,36124289,7.499963501011743,5.063315,1.1538428232501614,8.653779060280554
2001,Haliotidae,Invertebrado,34324405,339969,100.96333783374367,5.063315,1.1538428232501614,116.49582277084663
