community,value,cost_mxp_ha,pct
Banco Chinchorro,9450.02,23.12,0.24%
Maria Elena,19986.79,122.54,0.61%
Punta Herrero,32497.15,1412.8,4.35%
Isla Natividad,28359.82,1529.47,5.39%
Isla San Pedro Nolasco,11646.44,1130.09,9.7%
El Rosario,3241.98,339.86,10.48%
La Bocana,3213.39,3561.81,110.84%
Puerto Libertad,396.42,1414.15,356.74%
Isla San Pedro Mártir,18122.13,0,-
