group,family,conapesca,mean_price
Finfish,Carangidae,"Jurel, Pampano",10.99
Finfish,Centropomidae,Robalo,60.51
Finfish,Haemulidae,"Mojarra, Ronco",16.33
Finfish,Lutjanidae,"Pargo, Rubia y Villajaiba",35.89
Finfish,Malacanthidae,Pierna,NA
Finfish,Mugilidae,"Lisa, Lebrancha",10.41
Finfish,Rachycentridae,Esmedregal,29.54
Finfish,Scianidae,"Corvina, Berrugata",16.02
Finfish,Scombridae,"Sierra, Peto, Atun, Barrilete, Bonito, Macarela",10.05
Finfish,Serranidae,"Cabrilla, Mero, Baqueta",31.41
Finfish,Sparidae,Besugo,25.23
Invertebrate,Haliotidae,Abulon,205.74
Invertebrate,Holothuroidea,Pepino de mar,30.74
Invertebrate,Palinuridae,Langosta,177.16
Invertebrate,Strongylocentrotidae,Erizo,34.45
